id,latitude,longitude,frp,brightness_temperature,confidence,timestamp,satellite
FIRMS_7545C7A6,7.15492,81.78719,8.34,338.59,60.0,2026-08-01T07:48:00Z,N20
FIRMS_7739D18A,7.16476,81.78166,6.29,334.29,60.0,2026-08-01T07:48:00Z,N20
FIRMS_1791610E,7.18044,81.77972,6.91,337.14,60.0,2026-08-01T07:48:00Z,N20
FIRMS_4A3A591B,7.21196,81.79849,6.99,328.96,30.0,2026-08-01T07:48:00Z,N20
FIRMS_B2359E9D,7.2475,81.82053,7.01,333.23,30.0,2026-08-01T07:48:00Z,N20
FIRMS_FA268B6F,7.24976,81.81227,6.11,337.22,60.0,2026-08-01T07:48:00Z,N20
FIRMS_18E8F563,7.26533,81.79796,6.13,330.86,60.0,2026-08-01T07:48:00Z,N20
FIRMS_05A7036B,8.6523,81.12926,14.18,337.26,60.0,2026-08-01T07:48:00Z,N20
FIRMS_7B8EB235,8.75609,78.18428,4.18,333.7,60.0,2026-08-01T07:50:00Z,N20
FIRMS_3A705803,8.7568,78.18086,7.43,337.41,60.0,2026-08-01T07:50:00Z,N20
FIRMS_BA1BC1B0,8.75747,78.18472,8.63,341.86,60.0,2026-08-01T07:50:00Z,N20
FIRMS_45CABF6E,9.39618,78.85063,10.2,345.85,60.0,2026-08-01T07:50:00Z,N20
FIRMS_5ACA075E,9.68989,78.37985,4.34,335.15,60.0,2026-08-01T07:50:00Z,N20
FIRMS_5E1FE566,10.26295,79.14907,2.67,331.65,60.0,2026-08-01T07:50:00Z,N20
FIRMS_4F68B0D5,10.38009,78.3605,2.77,331.79,60.0,2026-08-01T07:50:00Z,N20
FIRMS_E638063B,10.96096,79.73511,2.48,331.46,60.0,2026-08-01T07:50:00Z,N20
FIRMS_2A048F48,11.02383,78.76881,1.68,332.56,60.0,2026-08-01T07:50:00Z,N20
FIRMS_AEBC2944,11.05059,79.3532,10.81,341.89,60.0,2026-08-01T07:50:00Z,N20
FIRMS_E03F1C38,11.15094,78.02576,1.56,330.71,60.0,2026-08-01T07:50:00Z,N20
FIRMS_5160FE9A,11.155,77.7301,2.37,330.49,60.0,2026-08-01T07:50:00Z,N20
FIRMS_19457FFD,11.27329,78.15312,3.22,337.74,60.0,2026-08-01T07:50:00Z,N20
FIRMS_7B117115,11.29113,79.78253,5.38,335.48,60.0,2026-08-01T07:50:00Z,N20
FIRMS_6A04DA33,11.72811,78.7383,4.81,333.55,60.0,2026-08-01T07:50:00Z,N20
FIRMS_CBA78E8F,11.87308,79.73968,2.46,332.62,60.0,2026-08-01T07:50:00Z,N20
FIRMS_D89E1DD1,11.87655,79.37332,9.09,337.57,60.0,2026-08-01T07:50:00Z,N20
FIRMS_7D356B97,11.93526,79.55087,2.33,335.31,60.0,2026-08-01T07:50:00Z,N20
FIRMS_9F0DE6C3,12.41949,80.10271,7.3,335.44,60.0,2026-08-01T07:50:00Z,N20
FIRMS_203E35DD,12.57915,79.24837,3.02,332.54,60.0,2026-08-01T07:50:00Z,N20
FIRMS_3439F62D,20.96636,86.01635,8.5,335.7,60.0,2026-08-01T07:52:00Z,N20
