id,latitude,longitude,frp,brightness_temperature,confidence,timestamp,satellite,nearest_facility_distance_m,nearest_facility_present,nearest_facility_type,facility_count_500m,facility_count_1km,facility_count_5km,power_plant_count_1km,oil_refinery_count_1km,oil_well_count_1km,ethanol_plant_count_1km,wind_farm_count_1km,solar_plant_count_1km,nearest_power_plant_distance_m,nearest_power_plant_present,nearest_oil_refinery_distance_m,nearest_oil_refinery_present,nearest_oil_well_distance_m,nearest_oil_well_present,nearest_ethanol_plant_distance_m,nearest_ethanol_plant_present,nearest_wind_farm_distance_m,nearest_wind_farm_present,nearest_solar_plant_distance_m,nearest_solar_plant_present
FIRMS_45CABF6E,9.39618,78.85063,10.2,345.85,60.0,2026-08-01T07:50:00Z,N20,372.2655724688719,1,oil_well,1,1,4,0,0,1,0,0,0,,0,,0,372.2655724688719,1,,0,,0,,0
FIRMS_5ACA075E,9.68989,78.37985,4.34,335.15,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_5E1FE566,10.26295,79.14907,2.67,331.65,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_4F68B0D5,10.38009,78.3605,2.77,331.79,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_E638063B,10.96096,79.73511,2.48,331.46,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_2A048F48,11.02383,78.76881,1.68,332.56,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_AEBC2944,11.05059,79.3532,10.81,341.89,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_E03F1C38,11.15094,78.02576,1.56,330.71,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_5160FE9A,11.155,77.7301,2.37,330.49,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_19457FFD,11.27329,78.15312,3.22,337.74,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_7B117115,11.29113,79.78253,5.38,335.48,60.0,2026-08-01T07:50:00Z,N20,1842.272744800527,1,oil_well,0,0,11,0,0,0,0,0,0,,0,,0,1842.272744800527,1,,0,,0,,0
FIRMS_6A04DA33,11.72811,78.7383,4.81,333.55,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
FIRMS_CBA78E8F,11.87308,79.73968,2.46,332.62,60.0,2026-08-01T07:50:00Z,N20,,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0
