source,facility_type,latitude,longitude,geometry_type,crs,capacity,company,district,inst_cap,inst_cap_m,layer,location,operator,original_file,plant_name,power_plant_type,primary_fu,state,state_name,statename,utilname,well_name,original_properties
ISRO_VEDAS,power_plant,14.8959,74.3525,Point,EPSG:4326,,,UTTARA KANNADA,150.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KADRA,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.154"", ""plant_name"": ""KADRA"", ""district"": ""UTTARA KANNADA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 150.0, ""layer"": ""hydro_power_plants"", ""xmin"": 74.3525, ""ymin"": 14.8959, ""xmax"": 74.3525, ""ymax"": 14.8959}"
ISRO_VEDAS,power_plant,14.9202,74.5345,Point,EPSG:4326,,,UTTARA KANNADA,120.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KODASALLI,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.153"", ""plant_name"": ""KODASALLI"", ""district"": ""UTTARA KANNADA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 120.0, ""layer"": ""hydro_power_plants"", ""xmin"": 74.5345, ""ymin"": 14.9202, ""xmax"": 74.5345, ""ymax"": 14.9202}"
ISRO_VEDAS,power_plant,14.2489,74.5559,Point,EPSG:4326,,,SHIMOGA,1035.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,SHARAVATHY,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.148"", ""plant_name"": ""SHARAVATHY"", ""district"": ""SHIMOGA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 1035.0, ""layer"": ""hydro_power_plants"", ""xmin"": 74.5559, ""ymin"": 14.2489, ""xmax"": 74.5559, ""ymax"": 14.2489}"
ISRO_VEDAS,power_plant,14.2516,74.6753,Point,EPSG:4326,,,UTTARA KANNADA,240.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,GERUSOPPA POWER,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.150"", ""plant_name"": ""GERUSOPPA POWER"", ""district"": ""UTTARA KANNADA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 240.0, ""layer"": ""hydro_power_plants"", ""xmin"": 74.6753, ""ymin"": 14.2516, ""xmax"": 74.6753, ""ymax"": 14.2516}"
ISRO_VEDAS,power_plant,14.2275,74.7996,Point,EPSG:4326,,,SHIMOGA,139.2,,hydro_power_plants,,,Vedas_Power_Plants.geojson,MAHATHMA GANDHI (JOG),hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.149"", ""plant_name"": ""MAHATHMA GANDHI (JOG)"", ""district"": ""SHIMOGA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 139.2, ""layer"": ""hydro_power_plants"", ""xmin"": 74.7996, ""ymin"": 14.2275, ""xmax"": 74.7996, ""ymax"": 14.2275}"
ISRO_VEDAS,power_plant,14.2023,74.9017,Point,EPSG:4326,,,UTTARA KANNADA,855.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KALINADI,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.152"", ""plant_name"": ""KALINADI"", ""district"": ""UTTARA KANNADA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 855.0, ""layer"": ""hydro_power_plants"", ""xmin"": 74.9017, ""ymin"": 14.2023, ""xmax"": 74.9017, ""ymax"": 14.2023}"
ISRO_VEDAS,power_plant,14.1706,74.8384,Point,EPSG:4326,,,SHIMOGA,55.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,LINGANAMAKKI,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.147"", ""plant_name"": ""LINGANAMAKKI"", ""district"": ""SHIMOGA"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 55.0, ""layer"": ""hydro_power_plants"", ""xmin"": 74.8384, ""ymin"": 14.1706, ""xmax"": 74.8384, ""ymax"": 14.1706}"
ISRO_VEDAS,power_plant,13.6965,75.0002,Point,EPSG:4326,,,UDUPI,460.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,VARAHI,hydro,,KARNATAKA,,,,,"{""id"": ""hydro_power_plants_public.155"", ""plant_name"": ""VARAHI"", ""district"": ""UDUPI"", ""proj_name"": null, ""state"": ""KARNATAKA"", ""inst_cap"": 460.0, ""layer"": ""hydro_power_plants"", ""xmin"": 75.0002, ""ymin"": 13.6965, ""xmax"": 75.0002, ""ymax"": 13.6965}"
ISRO_VEDAS,power_plant,12.9019,74.816,Point,EPSG:4326,,,Kannada,220.0,,natural_gas_power_plants,,,Vedas_Power_Plants.geojson,Tanir Bavi CCGT,thermal,,Karnataka,,,,,"{""id"": ""natural_gas_power_plants_public.40"", ""plant_name"": ""Tanir Bavi CCGT"", ""district"": ""Kannada"", ""proj_name"": null, ""state"": ""Karnataka"", ""inst_cap"": 220.0, ""layer"": ""natural_gas_power_plants"", ""xmin"": 74.816, ""ymin"": 12.9019, ""xmax"": 74.816, ""ymax"": 12.9019}"
ISRO_VEDAS,power_plant,13.1596,74.783,Point,EPSG:4326,,,Udupi,1200.0,,coal_power_plants,,,Vedas_Power_Plants.geojson,Udupi TPP,thermal,,Karnataka,,,,,"{""id"": ""coal_power_plants_public.fid--438479b5_193d56910e1_7813"", ""plant_name"": ""Udupi TPP"", ""district"": ""Udupi"", ""proj_name"": null, ""state"": ""Karnataka"", ""inst_cap"": 1200.0, ""layer"": ""coal_power_plants"", ""xmin"": 74.783, ""ymin"": 13.1596, ""xmax"": 74.783, ""ymax"": 13.1596}"
ISRO_VEDAS,power_plant,12.2995,74.4038,Point,EPSG:4326,,,Dharmapuri,105.66,,diesel_power_plants,,,Vedas_Power_Plants.geojson,Samalpatti DGPP,thermal,,TN,,,,,"{""id"": ""diesel_power_plants_public.16"", ""plant_name"": ""Samalpatti DGPP"", ""district"": ""Dharmapuri"", ""proj_name"": null, ""state"": ""TN"", ""inst_cap"": 105.66, ""layer"": ""diesel_power_plants"", ""xmin"": 74.4038, ""ymin"": 12.2995, ""xmax"": 74.4038, ""ymax"": 12.2995}"
ISRO_VEDAS,power_plant,12.4837,74.9929,Point,EPSG:4326,,,Kasargode,21.9,,diesel_power_plants,,,Vedas_Power_Plants.geojson,Kasargode DG,thermal,,Kerala,,,,,"{""id"": ""diesel_power_plants_public.10"", ""plant_name"": ""Kasargode DG"", ""district"": ""Kasargode"", ""proj_name"": null, ""state"": ""Kerala"", ""inst_cap"": 21.9, ""layer"": ""diesel_power_plants"", ""xmin"": 74.9929, ""ymin"": 12.4837, ""xmax"": 74.9929, ""ymax"": 12.4837}"
ISRO_VEDAS,power_plant,10.49,73.4,Point,EPSG:4326,,,,3.05,,diesel_power_plants,,,Vedas_Power_Plants.geojson,DG Set at Lakshwadeep,thermal,,Lakshwadeep,,,,,"{""id"": ""diesel_power_plants_public.11"", ""plant_name"": ""DG Set at Lakshwadeep"", ""district"": null, ""proj_name"": null, ""state"": ""Lakshwadeep"", ""inst_cap"": 3.05, ""layer"": ""diesel_power_plants"", ""xmin"": 73.4, ""ymin"": 10.49, ""xmax"": 73.4, ""ymax"": 10.49}"
ISRO_VEDAS,power_plant,9.3071,77.0703,Point,EPSG:4326,,,PATHANAMTHITTA,300.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,SABARIGIRI,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.134"", ""plant_name"": ""SABARIGIRI"", ""district"": ""PATHANAMTHITTA"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 300.0, ""layer"": ""hydro_power_plants"", ""xmin"": 77.0703, ""ymin"": 9.3071, ""xmax"": 77.0703, ""ymax"": 9.3071}"
ISRO_VEDAS,power_plant,9.2404,76.4283,Point,EPSG:4326,,,Allapuzha,350.0,,natural_gas_power_plants,,,Vedas_Power_Plants.geojson,Kayamkulam CCGT,thermal,,Kerala,,,,,"{""id"": ""natural_gas_power_plants_public.41"", ""plant_name"": ""Kayamkulam CCGT"", ""district"": ""Allapuzha"", ""proj_name"": null, ""state"": ""Kerala"", ""inst_cap"": 350.0, ""layer"": ""natural_gas_power_plants"", ""xmin"": 76.4283, ""ymin"": 9.2404, ""xmax"": 76.4283, ""ymax"": 9.2404}"
ISRO_VEDAS,power_plant,9.3296,76.9705,Point,EPSG:4326,,,PATHANAMTHITTA,50.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KAKKAD,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.143"", ""plant_name"": ""KAKKAD"", ""district"": ""PATHANAMTHITTA"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 50.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.9705, ""ymin"": 9.3296, ""xmax"": 76.9705, ""ymax"": 9.3296}"
ISRO_VEDAS,power_plant,9.7895,76.8602,Point,EPSG:4326,,,IDUKKI,780.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,IDUKKI,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.133"", ""plant_name"": ""IDUKKI"", ""district"": ""IDUKKI"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 780.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.8602, ""ymin"": 9.7895, ""xmax"": 76.8602, ""ymax"": 9.7895}"
ISRO_VEDAS,power_plant,9.9526,76.9794,Point,EPSG:4326,,,IDUKKI,45.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,NERIMANGALAM,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.139"", ""plant_name"": ""NERIMANGALAM"", ""district"": ""IDUKKI"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 45.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.9794, ""ymin"": 9.9526, ""xmax"": 76.9794, ""ymax"": 9.9526}"
ISRO_VEDAS,power_plant,9.9773,77.0287,Point,EPSG:4326,,,IDUKKI,48.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,SENGULAM,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.144"", ""plant_name"": ""SENGULAM"", ""district"": ""IDUKKI"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 48.0, ""layer"": ""hydro_power_plants"", ""xmin"": 77.0287, ""ymin"": 9.9773, ""xmax"": 77.0287, ""ymax"": 9.9773}"
ISRO_VEDAS,power_plant,9.976,77.031,Point,EPSG:4326,,,IDUKKI,30.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,PANNIAR,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.146"", ""plant_name"": ""PANNIAR"", ""district"": ""IDUKKI"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 30.0, ""layer"": ""hydro_power_plants"", ""xmin"": 77.031, ""ymin"": 9.976, ""xmax"": 77.031, ""ymax"": 9.976}"
ISRO_VEDAS,power_plant,10.0339,77.0515,Point,EPSG:4326,,,IDUKKI,37.5,,hydro_power_plants,,,Vedas_Power_Plants.geojson,PALLIVASAL,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.145"", ""plant_name"": ""PALLIVASAL"", ""district"": ""IDUKKI"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 37.5, ""layer"": ""hydro_power_plants"", ""xmin"": 77.0515, ""ymin"": 10.0339, ""xmax"": 77.0515, ""ymax"": 10.0339}"
ISRO_VEDAS,power_plant,10.0193,76.8514,Point,EPSG:4326,,,IDUKKI,180.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,LOWER PERIYAR,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.138"", ""plant_name"": ""LOWER PERIYAR"", ""district"": ""IDUKKI"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 180.0, ""layer"": ""hydro_power_plants"", ""xmin"": 76.8514, ""ymin"": 10.0193, ""xmax"": 76.8514, ""ymax"": 10.0193}"
ISRO_VEDAS,power_plant,9.9975,76.3744,Point,EPSG:4326,,,Ernakulam,100.0,,diesel_power_plants,,,Vedas_Power_Plants.geojson,Brahmapuram DG,thermal,,Kerala,,,,,"{""id"": ""diesel_power_plants_public.8"", ""plant_name"": ""Brahmapuram DG"", ""district"": ""Ernakulam"", ""proj_name"": null, ""state"": ""Kerala"", ""inst_cap"": 100.0, ""layer"": ""diesel_power_plants"", ""xmin"": 76.3744, ""ymin"": 9.9975, ""xmax"": 76.3744, ""ymax"": 9.9975}"
ISRO_VEDAS,power_plant,10.0698,76.3029,Point,EPSG:4326,,,Ernakulam,174.0,,natural_gas_power_plants,,,Vedas_Power_Plants.geojson,Eloor CCGT,thermal,,Kerala,,,,,"{""id"": ""natural_gas_power_plants_public.42"", ""plant_name"": ""Eloor CCGT"", ""district"": ""Ernakulam"", ""proj_name"": null, ""state"": ""Kerala"", ""inst_cap"": 174.0, ""layer"": ""natural_gas_power_plants"", ""xmin"": 76.3029, ""ymin"": 10.0698, ""xmax"": 76.3029, ""ymax"": 10.0698}"
ISRO_VEDAS,power_plant,11.2054,75.8067,Point,EPSG:4326,,,Kozikode,128.0,,diesel_power_plants,,,Vedas_Power_Plants.geojson,Kozhikode DG,thermal,,Kerala,,,,,"{""id"": ""diesel_power_plants_public.9"", ""plant_name"": ""Kozhikode DG"", ""district"": ""Kozikode"", ""proj_name"": null, ""state"": ""Kerala"", ""inst_cap"": 128.0, ""layer"": ""diesel_power_plants"", ""xmin"": 75.8067, ""ymin"": 11.2054, ""xmax"": 75.8067, ""ymax"": 11.2054}"
ISRO_VEDAS,power_plant,11.5458,75.895,Point,EPSG:4326,,,KOZIKOD,3.0,,small_hydro_power_plants,,,Vedas_Power_Plants.geojson,,hydro,,Kerala,,,,,"{""id"": ""small_hydro_power_plants_public.10"", ""plant_name"": null, ""district"": ""KOZIKOD"", ""proj_name"": ""Kakkayam"", ""state"": ""Kerala"", ""inst_cap"": 3.0, ""layer"": ""small_hydro_power_plants"", ""xmin"": 75.895, ""ymin"": 11.5458, ""xmax"": 75.895, ""ymax"": 11.5458}"
ISRO_VEDAS,power_plant,11.5487,75.8992,Point,EPSG:4326,,,KOZHIKODE,75.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KUTTIYADI,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.135"", ""plant_name"": ""KUTTIYADI"", ""district"": ""KOZHIKODE"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 75.0, ""layer"": ""hydro_power_plants"", ""xmin"": 75.8992, ""ymin"": 11.5487, ""xmax"": 75.8992, ""ymax"": 11.5487}"
ISRO_VEDAS,power_plant,11.549,75.8974,Point,EPSG:4326,,,KOZHIKODE,100.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KUTTIYADI ADDL.,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.137"", ""plant_name"": ""KUTTIYADI ADDL."", ""district"": ""KOZHIKODE"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 100.0, ""layer"": ""hydro_power_plants"", ""xmin"": 75.8974, ""ymin"": 11.549, ""xmax"": 75.8974, ""ymax"": 11.549}"
ISRO_VEDAS,power_plant,11.5511,75.8953,Point,EPSG:4326,,,KOZHIKODE,50.0,,hydro_power_plants,,,Vedas_Power_Plants.geojson,KUTTIYADI EXT.,hydro,,KERALA,,,,,"{""id"": ""hydro_power_plants_public.136"", ""plant_name"": ""KUTTIYADI EXT."", ""district"": ""KOZHIKODE"", ""proj_name"": null, ""state"": ""KERALA"", ""inst_cap"": 50.0, ""layer"": ""hydro_power_plants"", ""xmin"": 75.8953, ""ymin"": 11.5511, ""xmax"": 75.8953, ""ymax"": 11.5511}"
